R_squared	Analysis_Type	Target_Group	Source_File	GO.ID	Term	Annotated	Significant	Expected	Classic_Fisher
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0006883	cellular sodium ion homeostasis	8	1	0	0.003
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0036376	sodium ion export across plasma membrane	8	1	0	0.003
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0030007	cellular potassium ion homeostasis	8	1	0	0.003
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:0019915	lipid storage	9	1	0	0.0034
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:1990573	potassium ion import across plasma membrane	14	1	0.01	0.0053
0.40	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_BP.txt	GO:1902600	proton transmembrane transport	33	1	0.01	0.0125
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0031638	zymogen activation	1	1	0	0.00057
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0034389	lipid droplet organization	3	1	0	0.00171
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0006883	cellular sodium ion homeostasis	8	1	0	0.00456
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0036376	sodium ion export across plasma membrane	8	1	0	0.00456
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0030007	cellular potassium ion homeostasis	8	1	0	0.00456
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:0019915	lipid storage	9	1	0.01	0.00513
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:1990573	potassium ion import across plasma membrane	14	1	0.01	0.00797
0.40	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_BP.txt	GO:1902600	proton transmembrane transport	33	1	0.02	0.01871
0.50	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	6	0.11	4.9e-08
0.50	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0005615	extracellular space	180	5	0.23	7.1e-07
0.50	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0062129	chitin-based extracellular matrix	29	2	0.04	0.00056
0.50	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008010	structural constituent of chitin-based larval cuticle	29	2	0.01	3.6e-05
0.50	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0062129	chitin-based extracellular matrix	29	2	0.02	8e-05
0.50	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0030312	external encapsulating structure	85	3	0.05	0.01
0.50	FDR	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	3	0.05	0.01
0.50	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008010	structural constituent of chitin-based larval cuticle	29	2	0.02	0.00011
0.50	FDR	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0004867	serine-type endopeptidase inhibitor activity	13	1	0.01	0.00817
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	33	0.57	5.3e-18
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_CC.txt	GO:0005615	extracellular space	180	11	1.21	1.4e-08
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0005391	P-type sodium:potassium-exchanging transporter activity	4	1	0.02	0.019
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008554	P-type sodium transporter activity	4	1	0.02	0.019
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0008556	P-type potassium transmembrane transporter activity	4	1	0.02	0.019
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0015662	P-type ion transporter activity	7	1	0.03	0.033
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_MF.txt	GO:0140358	P-type transmembrane transporter activity	8	1	0.04	0.038
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0031012	extracellular matrix	85	28	0.48	9.4e-13
0.50	P-value	Monomorphic	topGOe_topGOtargetMonomorphicOGs_CC.txt	GO:0005615	extracellular space	180	8	1.02	4.7e-06
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008554	P-type sodium transporter activity	4	1	0.02	0.022
0.50	P-value	Polymorphic	topGOe_topGOtargetPolymorphicOGs_MF.txt	GO:0008556	P-type potassium transmembrane transporter activity	4	1	0.02	0.022
