"motivo" "n_OG_sig" "median_R2_adj" "median_pval" "n_positive_coef" "n_negative_coef" "direction_dominant"
"MA0443.2" 773 0.0321 0.0184 624 149 "polymorphic"
"MA2209.1" 773 0.0328 0.0185 572 201 "polymorphic"
"MA2220.1" 773 0.0304 0.0227 569 204 "polymorphic"
"MA2291.1" 773 0.0323 0.0187 492 281 "polymorphic"
"MA2315.1" 773 0.0338 0.0168 552 221 "polymorphic"
"MA1702.2" 772 0.03 0.0226 384 388 "monomorphic"
"MA2240.1" 771 0.0304 0.0201 610 161 "polymorphic"
"MA0086.3" 770 0.0315 0.0195 530 240 "polymorphic"
"MA2274.1" 770 0.0307 0.0194 432 338 "polymorphic"
"MA0534.1" 769 0.0323 0.0186 566 203 "polymorphic"
"MA2206.1" 769 0.0307 0.0198 568 201 "polymorphic"
"MA2268.1" 769 0.0297 0.0218 474 295 "polymorphic"
"MA0023.1" 766 0.0317 0.0188 579 187 "polymorphic"
"MA2254.1" 765 0.0316 0.0194 460 305 "polymorphic"
"MA0254.1" 763 0.0297 0.0226 66 697 "monomorphic"
"MA2284.1" 763 0.0301 0.0209 334 429 "monomorphic"
"MA2195.1" 762 0.0325 0.0177 508 254 "polymorphic"
"MA2205.1" 762 0.0318 0.0185 491 271 "polymorphic"
"MA0253.1" 761 0.0309 0.0193 526 235 "polymorphic"
"MA0013.1" 759 0.0307 0.0197 491 268 "polymorphic"
"MA0458.2" 757 0.0297 0.0213 459 298 "polymorphic"
"MA0188.1" 756 0.0313 0.0199 277 479 "monomorphic"
"MA2243.1" 755 0.0315 0.0192 530 225 "polymorphic"
"MA2296.1" 754 0.029 0.0231 511 243 "polymorphic"
"MA0126.2" 753 0.0321 0.0185 564 189 "polymorphic"
"MA0239.2" 753 0.0321 0.0185 564 189 "polymorphic"
"MA2191.1" 753 0.0329 0.0173 517 236 "polymorphic"
"MA2224.1" 753 0.0308 0.0193 616 137 "polymorphic"
"MA2257.1" 753 0.03 0.0225 283 470 "monomorphic"
"MA2267.1" 753 0.0297 0.0231 290 463 "monomorphic"
"MA2320.1" 752 0.0306 0.0219 392 360 "polymorphic"
"MA0243.2" 751 0.0316 0.0207 563 188 "polymorphic"
"MA2211.1" 751 0.0309 0.0212 457 294 "polymorphic"
"MA2233.1" 751 0.0326 0.0176 468 283 "polymorphic"
"MA2468.1" 750 0.0326 0.0175 638 112 "polymorphic"
"MA2300.1" 749 0.032 0.018 600 149 "polymorphic"
"MA2192.1" 746 0.0308 0.0205 415 331 "polymorphic"
"MA2266.1" 746 0.0324 0.0188 546 200 "polymorphic"
"MA1462.2" 743 0.0307 0.0197 269 474 "monomorphic"
"MA2308.1" 741 0.0295 0.0228 144 597 "monomorphic"
"MA2313.1" 741 0.0314 0.019 575 166 "polymorphic"
"MA2317.1" 741 0.0295 0.0228 144 597 "monomorphic"
"MA2321.1" 741 0.0295 0.0228 144 597 "monomorphic"
"MA1455.2" 739 0.0315 0.0188 531 208 "polymorphic"
"MA2215.1" 738 0.0319 0.019 579 159 "polymorphic"
"MA2255.1" 738 0.0319 0.019 579 159 "polymorphic"
"MA0015.2" 731 0.0312 0.0191 451 280 "polymorphic"
"MA2244.1" 730 0.0319 0.0192 617 113 "polymorphic"
"MA0237.2" 728 0.0302 0.0213 446 282 "polymorphic"
"MA0531.2" 727 0.032 0.0186 475 252 "polymorphic"
"MA2238.1" 727 0.0305 0.0223 502 225 "polymorphic"
"MA2299.1" 727 0.0319 0.0194 493 234 "polymorphic"
"MA0214.1" 726 0.0299 0.0221 229 497 "monomorphic"
"MA0248.1" 726 0.0299 0.0221 229 497 "monomorphic"
"MA1841.2" 724 0.0323 0.0186 580 144 "polymorphic"
"MA0447.1" 723 0.0321 0.0197 478 245 "polymorphic"
"MA0454.1" 721 0.0338 0.0163 489 232 "polymorphic"
"MA1460.2" 721 0.0302 0.0211 464 257 "polymorphic"
"MA2249.1" 718 0.0313 0.0191 557 161 "polymorphic"
"MA2270.1" 717 0.0317 0.02 445 272 "polymorphic"
"MA0446.1" 715 0.0314 0.0195 447 268 "polymorphic"
"MA2286.1" 715 0.0312 0.0202 508 207 "polymorphic"
"MA2253.1" 710 0.0314 0.019 633 77 "polymorphic"
"MA0169.1" 706 0.0304 0.0231 570 136 "polymorphic"
"MA0171.1" 706 0.0304 0.0231 570 136 "polymorphic"
"MA0176.1" 706 0.0304 0.0231 570 136 "polymorphic"
"MA0192.1" 706 0.0304 0.0231 570 136 "polymorphic"
"MA0196.1" 706 0.0304 0.0231 570 136 "polymorphic"
"MA0245.1" 706 0.0304 0.0231 570 136 "polymorphic"
"MA0250.1" 706 0.0304 0.0231 570 136 "polymorphic"
"MA0444.1" 706 0.0304 0.0231 570 136 "polymorphic"
"MA2275.1" 704 0.0312 0.0214 395 309 "polymorphic"
"MA2287.1" 703 0.0326 0.0178 572 131 "polymorphic"
"MA1837.2" 702 0.0307 0.0214 421 281 "polymorphic"
"MA1838.2" 702 0.0307 0.0214 421 281 "polymorphic"
"MA2288.1" 702 0.0327 0.0182 480 222 "polymorphic"
"MA2248.1" 701 0.0314 0.0189 527 174 "polymorphic"
"MA2322.1" 699 0.0317 0.0189 567 132 "polymorphic"
"MA2203.1" 696 0.0306 0.0202 469 227 "polymorphic"
"MA2245.1" 693 0.0322 0.0189 464 229 "polymorphic"
"MA0529.3" 692 0.031 0.0198 372 320 "polymorphic"
